iter	Passed	Remaining
0	147	147323
1	163	81580
2	179	59740
3	195	48701
4	209	41708
5	224	37239
6	242	34436
7	260	32269
8	279	30780
9	303	30073
10	322	28983
11	343	28262
12	362	27534
13	380	26832
14	400	26307
15	424	26113
16	439	25419
17	459	25072
18	480	24804
19	496	24339
20	512	23879
21	527	23455
22	543	23093
23	557	22688
24	571	22304
25	586	21959
26	600	21638
27	614	21333
28	629	21063
29	643	20816
30	657	20566
31	671	20326
32	686	20110
33	700	19906
34	714	19701
35	728	19514
36	742	19333
37	757	19170
38	771	19004
39	785	18856
40	801	18752
41	816	18613
42	830	18475
43	845	18364
44	859	18247
45	873	18117
46	887	17995
47	901	17886
48	915	17776
49	929	17668
50	945	17599
51	960	17504
52	974	17405
53	988	17312
54	1002	17217
55	1015	17123
56	1030	17043
57	1044	16965
58	1058	16880
59	1072	16804
60	1086	16725
61	1100	16656
62	1114	16582
63	1128	16507
64	1143	16450
65	1158	16388
66	1172	16326
67	1186	16262
68	1202	16227
69	1217	16170
70	1231	16113
71	1245	16057
72	1260	16001
73	1274	15946
74	1288	15895
75	1303	15848
76	1317	15796
77	1333	15757
78	1347	15709
79	1361	15655
80	1375	15607
81	1390	15563
82	1404	15513
83	1418	15469
84	1433	15425
85	1449	15399
86	1462	15352
87	1476	15305
88	1491	15263
89	1505	15222
90	1519	15176
91	1533	15137
92	1547	15090
93	1561	15052
94	1575	15011
95	1590	14976
96	1605	14948
97	1619	14909
98	1634	14872
99	1648	14836
100	1662	14796
101	1676	14759
102	1690	14723
103	1704	14688
104	1719	14656
105	1734	14632
106	1749	14602
107	1763	14568
108	1777	14530
109	1791	14493
110	1805	14461
111	1819	14426
112	1834	14400
113	1851	14387
114	1865	14354
115	1878	14318
116	1892	14286
117	1906	14253
118	1921	14223
119	1935	14192
120	1949	14164
121	1964	14136
122	1978	14108
123	1994	14091
124	2008	14061
125	2022	14032
126	2036	14000
127	2050	13972
128	2065	13945
129	2079	13917
130	2093	13890
131	2108	13867
132	2122	13837
133	2136	13810
134	2153	13797
135	2167	13770
136	2181	13741
137	2195	13715
138	2209	13685
139	2224	13662
140	2238	13638
141	2252	13613
142	2267	13588
143	2281	13563
144	2295	13534
145	2309	13510
146	2323	13484
147	2338	13459
148	2352	13436
149	2366	13411
150	2380	13386
151	2394	13361
152	2411	13351
153	2427	13334
154	2442	13313
155	2456	13290
156	2470	13266
157	2484	13240
158	2498	13216
